date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:13:26	237/237	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2008:03:36%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fcornell.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=4e41c1451711a035caa7d02d9d276d15	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/cornella27f.png	(from https://www.classcentral.com/)
07:13:26	4778/4778	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2016:32:16%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fcornell.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=c281a17cd599f91a73543731494ff4de	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/cornell9c0f.png	(from https://www.classcentral.com/)
07:13:26	734955/734955	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2005:13:26%20GMT	https://www.classcentral.com/university/cornell	C:/My%20Web%20Sites/classcentral/www.classcentral.com/university/cornell.html	(from https://www.classcentral.com/)
07:13:27	238/238	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2012:25:33%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fedinburgh.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=7591ca2c569462d7117aa23378267c2e	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/edinburgh47df.png	(from https://www.classcentral.com/)
07:13:27	5180/5180	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2010:01:12%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fedinburgh.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=02e1424f140c413a5f4bff39345aade7	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/edinburgh3216.png	(from https://www.classcentral.com/)
07:13:27	782918/782918	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2005:13:27%20GMT	https://www.classcentral.com/university/edinburgh	C:/My%20Web%20Sites/classcentral/www.classcentral.com/university/edinburgh.html	(from https://www.classcentral.com/)
07:13:28	241/241	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2010:26:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fpurdue.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=d06c10c597caa799bfb87e0053557753	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/purdue21f6.png	(from https://www.classcentral.com/)
07:13:28	1879/1879	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2008:56:57%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fpurdue.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=57260d55af3c798ab3c3c38fd644d5dc	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/purdue39cf.png	(from https://www.classcentral.com/)
07:13:29	742141/742141	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2005:13:28%20GMT	https://www.classcentral.com/university/purdue	C:/My%20Web%20Sites/classcentral/www.classcentral.com/university/purdue.html	(from https://www.classcentral.com/)
07:13:30	203/203	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Mar%202023%2007:53:27%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fpenn.png?auto=format&blur=200&cs=strip&fit=&h=50&ixlib=php-3.3.1&px=16&w=50&s=3d58c48b5efe9a51f65f424dd4af6262	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/pennab51.png	(from https://www.classcentral.com/)
07:13:30	795057/795057	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Mar%202023%2005:13:30%20GMT	https://www.classcentral.com/university/penn	C:/My%20Web%20Sites/classcentral/www.classcentral.com/university/penn.html	(from https://www.classcentral.com/)
07:13:30	2471/2471	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Mar%202023%2000:10:10%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fhomepage%2Fpenn.png?auto=format&cs=strip&fit=&h=50&ixlib=php-3.3.1&w=50&s=9be4953459c0a57a968f58552de3da24	C:/My%20Web%20Sites/classcentral/ccweb.imgix.net/https_/www.classcentral.com/images/logos/homepage/penn0cdc.png	(from https://www.classcentral.com/)
